chamber,congress,year,party.mean.diff.d1,prop.moderate.d1,prop.moderate.dem.d1,prop.moderate.rep.d1,overlap,chamber.mean.d1,chamber.mean.d2,dem.mean.d1,dem.mean.d2,rep.mean.d1,rep.mean.d2,north.rep.mean.d1,north.rep.mean.d2,south.rep.mean.d1,south.rep.mean.d2,north.dem.mean.d1,north.dem.mean.d2,south.dem.mean.d1,south.dem.mean.d2,mean_weight,mean_contrib
House,87,1961,0.5396550324675324,0.4476614699331848,0.40293040293040294,0.5170454545454546,0.2048997772828508,-0.06575055679287305,0.16889532293986637,-0.2772857142857143,0.4203076923076923,0.2623693181818182,-0.22107954545454545,0.260887573964497,-0.2397396449704142,0.29814285714285715,0.22942857142857143,-0.3711963190184049,0.1318159509202454,-0.13812727272727274,0.8478,0.8130841121495327,0.4387849329408908
Senate,87,1961,0.5468423076923077,0.4476190476190477,0.4307692307692308,0.475,0.3333333333333333,-0.06957142857142856,0.09228571428571428,-0.2778923076923077,0.38735384615384616,0.26895,-0.3872,0.2714594594594595,-0.3948648648648649,0.238,-0.2926666666666667,-0.3761627906976744,0.15641860465116278,-0.08581818181818182,0.8387272727272728,0.18691588785046728,0.1022135154565061
House,88,1963,0.5480623761123529,0.4198645598194131,0.366412213740458,0.4972375690607735,0.1986455981941309,-0.0681196388261851,0.13889164785553046,-0.29204580152671755,0.38387786259541984,0.25601657458563537,-0.2157292817679558,0.253,-0.24382352941176472,0.30263636363636365,0.21845454545454543,-0.3829444444444444,0.11346296296296296,-0.14479,0.82195,0.8130841121495327,0.4456208104838757
Senate,88,1963,0.5695981554677207,0.4215686274509804,0.37681159420289856,0.5151515151515151,0.30392156862745096,-0.1068921568627451,0.09161764705882353,-0.2911739130434783,0.3408840579710145,0.2784242424242424,-0.4295757575757576,0.28246666666666664,-0.44326666666666664,0.238,-0.2926666666666667,-0.37727083333333333,0.13441666666666666,-0.09438095238095238,0.8128095238095238,0.18691588785046728,0.10646694494723752
House,89,1965,0.5465892944265037,0.3918918918918919,0.32558139534883723,0.5314685314685315,0.2905405405405405,-0.12472297297297295,0.14047522522522524,-0.3007641196013289,0.3066976744186046,0.2458251748251748,-0.2094055944055944,0.2411171875,-0.2659140625,0.28600000000000003,0.2728,-0.376490099009901,0.06173762376237624,-0.14625252525252525,0.8065151515151515,0.8130841121495327,0.4444230711692133
Senate,89,1965,0.5768471861471862,0.3883495145631068,0.35714285714285715,0.4545454545454546,0.27184466019417475,-0.11245631067961163,0.10345631067961164,-0.2972714285714286,0.33525714285714286,0.2795757575757576,-0.3882424242424242,0.2800344827586207,-0.4193448275862069,0.27625,-0.16275,-0.3833958333333333,0.1166875,-0.10936363636363636,0.8121363636363637,0.18691588785046728,0.10782190395274509
House,90,1967,0.538546455026455,0.4214123006833713,0.332,0.5396825396825397,0.4692482915717539,-0.06366287015945331,0.09802277904328018,-0.29552,0.317728,0.24302645502645503,-0.1925925925925926,0.23947560975609755,-0.25328048780487805,0.26632,0.20552,-0.3860674846625767,0.05591411042944785,-0.1258735632183908,0.8082528735632184,0.8130841121495327,0.4378835662364634
Senate,90,1967,0.55190625,0.38613861386138615,0.34375,0.4594594594594595,0.26732673267326734,-0.09672277227722773,0.06000990099009901,-0.29890625,0.3414375,0.253,-0.4267837837837838,0.25018181818181817,-0.4587878787878788,0.27625,-0.16275,-0.3676363636363637,0.12868181818181815,-0.1477,0.8095,0.18691588785046728,0.10316004672897197
House,91,1969,0.5643911155778895,0.4053452115812918,0.3,0.5376884422110553,0.4521158129175947,-0.05962583518930958,0.08241202672605791,-0.309768,0.289128,0.25462311557788947,-0.1772814070351759,0.25253488372093025,-0.23536627906976745,0.2679259259259259,0.1927407407407407,-0.3933592814371258,0.0432874251497006,-0.14157831325301204,0.7837710843373494,0.8130841121495327,0.4588974491147325
Senate,91,1969,0.5398926332288401,0.392156862745098,0.3448275862068966,0.4545454545454546,0.18627450980392157,-0.05615686274509803,0.00426470588235294,-0.289051724137931,0.346,0.2508409090909091,-0.44620454545454546,0.24692105263157896,-0.4933684210526316,0.27566666666666667,-0.1475,-0.362475,0.120075,-0.12588888888888888,0.8480555555555556,0.18691588785046728,0.10091451088389533
House,92,1971,0.5649482625482626,0.4009009009009009,0.3088803088803089,0.5297297297297298,0.4436936936936937,-0.07515315315315316,0.09827027027027029,-0.31054826254826257,0.2947104247104247,0.2544,-0.17674594594594595,0.24817088607594937,-0.24012025316455696,0.29085185185185186,0.19411111111111112,-0.3935174418604651,0.05293023255813953,-0.14651724137931035,0.772712643678161,0.8130841121495327,0.45935045646447514
Senate,92,1971,0.5199722222222223,0.42718446601941745,0.375,0.4888888888888889,0.13861386138613865,-0.04827184466019417,-0.00187378640776698,-0.28675,0.35578571428571426,0.23322222222222225,-0.4587555555555555,0.2266923076923077,-0.5066410256410256,0.27566666666666667,-0.1475,-0.3653783783783784,0.11151351351351352,-0.13363157894736843,0.8314736842105264,0.18691588785046728,0.09719106957424715
House,93,1973,0.5844110694183865,0.3755656108597285,0.2804878048780488,0.49743589743589745,0.4331065759637188,-0.06585294117647059,0.06529638009049774,-0.3234674796747968,0.23640650406504063,0.2609435897435897,-0.14995384615384616,0.2534601226993865,-0.20544785276073615,0.2990625,0.13271875,-0.3937090909090909,0.01607878787878788,-0.18038271604938272,0.6852222222222222,0.8130841121495327,0.4751753555084077
Senate,93,1973,0.5906793145654834,0.3431372549019608,0.2807017543859649,0.4186046511627907,0.1,-0.0646470588235294,0.00868627450980392,-0.3258421052631579,0.2957719298245614,0.26483720930232557,-0.38372093023255816,0.23765714285714287,-0.4929428571428571,0.38375,0.094125,-0.38921428571428573,0.1029047619047619,-0.1484,0.8358,0.18691588785046728,0.11040734851691278
House,94,1975,0.5803095238095238,0.35600907029478457,0.2857142857142857,0.4965986394557823,0.4399092970521542,-0.12185260770975057,0.03629024943310657,-0.3152891156462585,0.1418809523809524,0.26502040816326533,-0.17489115646258505,0.25187394957983195,-0.23425210084033612,0.32089285714285715,0.07739285714285714,-0.3730966183574879,-0.06053623188405797,-0.17774712643678162,0.6234942528735632,0.8130841121495327,0.47184045393858476
Senate,94,1975,0.5953830888697152,0.32673267326732675,0.26229508196721313,0.42105263157894735,0.09090909090909093,-0.08825742574257425,0.0289009900990099,-0.32454098360655736,0.2748688524590164,0.2708421052631579,-0.3782894736842105,0.2395,-0.477875,0.438,0.15283333333333335,-0.3851590909090909,0.08218181818181818,-0.1676470588235294,0.7735882352941177,0.18691588785046728,0.1112865586672365
House,95,1977,0.5730680272108843,0.36507936507936506,0.3129251700680272,0.4693877551020408,0.4444444444444444,-0.11488888888888887,0.01966213151927437,-0.30591156462585034,0.1186904761904762,0.267156462585034,-0.17839455782312924,0.25737815126050423,-0.24327731092436977,0.3087142857142857,0.09735714285714284,-0.3611545893719807,-0.07129468599033817,-0.1744712643678161,0.5707241379310345,0.8130841121495327,0.46595250810604616
Senate,95,1977,0.5886724696356276,0.33653846153846156,0.27692307692307694,0.42105263157894735,0.17475728155339806,-0.10059615384615384,0.04473076923076923,-0.31964615384615386,0.29378461538461537,0.26902631578947367,-0.40557894736842104,0.23734375,-0.51028125,0.438,0.15283333333333335,-0.3839565217391304,0.1027608695652174,-0.16394736842105262,0.7562631578947369,0.18691588785046728,0.11003223731507057
House,96,1979,0.5961197807298689,0.34615384615384615,0.31316725978647686,0.40372670807453415,0.4230769230769231,-0.08419230769230769,0.00473529411764705,-0.30133096085409256,0.10965480427046265,0.2947888198757764,-0.17838509316770187,0.28410077519379845,-0.23788372093023255,0.337875,0.06146874999999999,-0.3568341708542714,-0.07043718592964825,-0.16663414634146342,0.5467073170731708,0.8130841121495327,0.4846955226495196
Senate,96,1979,0.5894985531211244,0.3465346534653465,0.288135593220339,0.4146341463414634,0.05,-0.06955445544554455,0.00246534653465346,-0.312864406779661,0.26228813559322034,0.27663414634146344,-0.3949756097560976,0.25771428571428573,-0.47362857142857145,0.387,0.06383333333333334,-0.3545952380952381,0.07302380952380952,-0.20976470588235296,0.7298823529411764,0.18691588785046728,0.11018664544320082
House,97,1981,0.6069506114186565,0.34234234234234234,0.3319838056680162,0.35714285714285715,0.4966139954853273,-0.03295495495495496,-0.03655405405405405,-0.3004251012145749,0.09210931174089068,0.30652551020408164,-0.19859183673469388,0.29251923076923075,-0.25393589743589745,0.36115,0.01724999999999999,-0.3647861271676301,-0.10671098265895954,-0.14995945945945946,0.5569189189189189,0.8130841121495327,0.4935018990039543
Senate,97,1981,0.609841384863124,0.3465346534653465,0.32608695652173914,0.35185185185185186,0,0.03062376237623762,-0.04102970297029703,-0.29930434782608695,0.2607608695652174,0.31053703703703706,-0.3167962962962963,0.2874090909090909,-0.43265909090909094,0.4123,0.193,-0.3334242424242424,0.08112121212121212,-0.21269230769230768,0.7167692307692308,0.18691588785046728,0.11398904389964934
House,98,1983,0.6274339996477633,0.31662870159453305,0.3235294117647059,0.30538922155688625,0.4305239179954442,-0.0630751708428246,-0.03470842824601367,-0.30175735294117645,0.07077941176470588,0.3256766467065868,-0.2065209580838323,0.3145496183206107,-0.26148854961832063,0.3661666666666667,-0.0065,-0.3662620320855615,-0.1262139037433155,-0.15984705882352945,0.504164705882353,0.8130841121495327,0.5101566165360318
Senate,98,1983,0.608689723320158,0.33663366336633666,0.30434782608695654,0.3636363636363637,0,0.03013861386138614,-0.05262376237623762,-0.30132608695652174,0.24667391304347827,0.30736363636363634,-0.3029454545454546,0.28452272727272726,-0.4233636363636364,0.3987272727272727,0.1787272727272727,-0.33624242424242423,0.06148484848484849,-0.21269230769230768,0.7167692307692308,0.18691588785046728,0.11377378005984262
House,99,1985,0.6432837687604225,0.3052391799544419,0.31906614785992216,0.2857142857142857,0.09567198177676538,-0.04280637813211845,-0.04005466970387244,-0.3094980544747082,0.08185214007782102,0.3337857142857143,-0.2121978021978022,0.31721014492753624,-0.27810144927536234,0.38577272727272727,-0.00549999999999999,-0.362463687150838,-0.1081340782122905,-0.18794871794871795,0.5178461538461538,0.8130841121495327,0.5230438119827734
